DATE,inf_exp,un_nat,inf,dx,gov_rate,m1_r,m2-m1_r,c_to_gdp,unemp,productivity_change_rate,inf_uk,inf_jp,inf_de
1.07.1978,0.7,6.27,8.02402,0.344732667,24.72512425,14.58188994,41.0360562,60.28873643,6.05534024,0,6.88786,4.45827,2.50878
1.10.1978,0,6.27,8.92953,0.342893667,24.61855294,14.31549443,40.4406003,59.84294318,5.649232898,2.5,7.12806,3.74551,2.50125
1.01.1979,1.233333333,6.26,9.78318,0.348290333,24.35706953,14.23367588,40.2414063,60.0809779,6.388759007,-3.5,8.10147,3.01174,2.91358
1.04.1979,1.166666667,6.26,10.75491,0.354842667,24.57722853,14.2660368,40.11825273,60.15418876,5.675218897,-1.1,8.73903,3.3,3.27789
1.07.1979,0,6.25,11.72309,0.351796,24.43498462,14.17147371,39.9467543,60.51498883,5.89883778,-0.4,13.5167,3.52357,4.65002
1.10.1979,-0.166666667,6.24,12.64198,0.359406333,24.53061053,13.9573236,39.75285991,60.770497,5.732491073,-0.3,14.89362,4.9456,5.31967
1.01.1980,0.566666667,6.23,14.21002,0.364051333,24.83100155,13.87794772,39.48712979,61.02292025,6.865673079,1.9,15.7835,7.23489,5.51823
1.04.1980,-1.133333333,6.22,14.42577,0.364612667,25.43429271,13.78244804,40.3104164,61.03406575,7.302371996,-4.3,18.27523,8.08325,5.92136
1.07.1980,-0.3,6.21,12.93532,0.358952667,25.09671165,13.96248916,40.59378107,61.80600718,7.657490901,1.3,13.98408,8.14957,5.19177
1.10.1980,0.533333333,6.2,12.53836,0.366515667,24.63926571,13.67618443,39.55426017,61.3107958,7.197331367,4.5,12.89562,7.63431,5.14365
1.01.1981,-0.866666667,6.19,11.26107,0.378032,24.45500311,13.25223405,38.49863928,60.37140315,8.099690555,6.9,12.32429,6.51571,5.72988
1.04.1981,-0.966666667,6.17,9.87352,0.400437,24.71245671,13.44278261,39.11278266,60.68113957,7.400153201,-4.9,11.88334,4.92611,5.81395
1.07.1981,-0.966666667,6.16,10.85302,0.420613,24.33844455,13.09128359,38.85478252,60.13866662,7.408333435,3.4,11.47889,4.16667,6.66963
1.10.1981,-0.066666667,6.15,9.58317,0.414669,24.9031188,13.16060897,39.76404299,60.18325975,8.05694613,-4.7,11.57173,4.11559,7.13971
1.01.1982,-1.6,6.13,7.5815,0.434983667,25.30044527,13.51432944,40.7690247,61.53059021,9.665097222,-2.8,10.18626,3.16703,5.89247
1.04.1982,-0.566666667,6.12,6.9068,0.456543,25.3276719,13.42126347,41.0652839,61.27051426,9.493956477,0.8,8.59678,2.56082,5.36771
1.07.1982,0.5,6.11,5.81647,0.484295667,25.57919159,13.4270963,41.38016651,62.0487474,9.859303666,0.8,7.30046,2.76596,5.08545
1.10.1982,-0.466666667,6.1,4.44365,0.497513333,25.9624791,13.79967389,41.56921894,63.11757404,10.42507162,3.7,6.54905,2.48108,4.64829
1.01.1983,-1.766666667,6.09,3.59408,0.500698333,25.8722214,13.90772096,43.294857,62.94137811,11.36691603,5.4,6.0486,2.14466,4.06174
1.04.1983,0.733333333,6.08,3.29976,0.519703,25.55017347,13.92545732,43.05339927,62.90764888,10.17411833,9.5,4.26456,2.28881,3.28921
1.07.1983,0,6.07,2.52646,0.540311667,25.47070549,13.82262033,42.35710931,62.95081843,9.254692443,2.9,4.77278,1.49068,3.13368
1.10.1983,0.3,6.06,3.23349,0.551550667,24.5381661,13.67711935,41.9577423,62.60854172,8.326163807,1.9,4.71651,1.6824,2.71226
1.01.1984,-0.266666667,6.05,4.62585,0.564731,24.3417042,13.49426264,41.64649769,61.91911416,8.578298672,0.7,4.20922,2.38781,2.84934
1.04.1984,0.8,6.05,4.40484,0.581106,24.45746703,13.38231631,41.51183064,61.79880448,7.51436742,2.5,4.70242,2.03417,2.83495
1.07.1984,-0.966666667,6.04,4.2957,0.616008667,24.41948497,13.25217943,41.38268266,61.64617023,7.394081193,1.7,4.09498,2.28478,1.88462
1.10.1984,0.266666667,6.03,4.1543,0.642566667,24.68886302,13.20279699,41.83055639,61.93780219,7.062901563,0.2,4.00096,2.3406,2.06659
1.01.1985,-0.4,6.03,3.64109,0.680963667,24.73979339,13.27351127,42.21923794,62.40004154,7.918482084,0.7,4.80402,2.13108,2.31499
1.04.1985,0.3,6.02,3.60709,0.681203,25.08593874,13.38664749,42.23170398,62.55265501,7.309739346,1.4,5.19298,2.11324,2.30363
1.07.1985,-0.466666667,6.02,3.35249,0.672746333,25.28230499,13.5667642,42.04058515,62.91283115,7.159857937,5.2,4.98138,2.31352,2.07626
1.10.1985,0.466666667,6.01,3.51377,0.651312333,25.17637318,13.77166419,41.91457421,62.67260709,6.828357539,1.8,4.72241,1.57729,1.5748
1.01.1986,-0.633333333,6,3.1054,0.638287,25.15328344,13.87626806,41.84579385,62.76605591,7.636379044,4.8,4.03649,1.49606,0.74184
1.04.1986,0,6,1.67858,0.622830333,25.54818556,14.29560869,42.41337916,62.85148219,7.206348477,3.1,3.002,0.89809,0
1.07.1986,0.233333333,5.99,1.66821,0.611864,25.87051682,14.69382701,42.62537502,63.41925441,6.93049499,1.9,3.12639,0.23392,-0.33284
1.10.1986,0.1,5.99,1.34557,0.620967667,25.58720062,15.16969932,42.79925426,63.52277682,6.614264669,-1,3.16762,-0.23292,-0.92285
1.01.1987,0,5.98,2.03833,0.606175333,25.57024327,15.44617791,42.6063115,63.30461922,7.242231934,-1.9,3.48531,-0.85337,-0.51546
1.04.1987,0.233333333,5.97,3.69917,0.599716667,25.5161657,15.43723591,42.08062331,63.64884571,6.314932904,2.9,3.21675,0.1548,0.03691
1.07.1987,-0.133333333,5.97,4.16287,0.613931667,25.34539261,15.20590344,41.73784125,63.94290879,5.972708428,0.1,2.9026,0.46674,0.51948
1.10.1987,0.1,5.96,4.40555,0.597171,25.23652466,14.9960081,41.19588453,63.06645669,5.658882523,3.5,3.21962,0.7393,0.9687
1.01.1988,-0.033333333,5.95,3.96541,0.593914333,24.92582133,14.90127748,41.51299335,63.82329051,6.255443532,1.4,2.8172,0.78247,0.96225
1.04.1988,0.266666667,5.94,3.97995,0.596623333,24.68866242,14.83762431,41.37585569,63.53986505,5.497585181,1.1,3.59757,0.23184,1.14391
1.07.1988,0.866666667,5.93,4.14236,0.628793667,24.56436489,14.77124385,40.97881694,63.74829559,5.453306104,1.2,4.24154,0.58072,1.29199
1.10.1988,-0.466666667,5.92,4.30636,0.617544333,24.69890893,14.50227763,40.56006664,63.76222054,5.150309811,1.6,4.3586,1.12012,1.69742
1.01.1989,-0.066666667,5.91,4.67451,0.634992333,24.34147329,14.18702241,40.03122411,63.4314044,5.699385176,-0.5,5.04738,1.04814,2.41935
1.04.1989,0.466666667,5.91,5.16019,0.664341333,24.54670575,13.78537421,39.82579627,63.41945506,5.256862575,1.5,5.24934,2.69854,2.88216
1.07.1989,-0.566666667,5.9,4.70588,0.683654667,24.56892023,13.6460187,40.19920316,63.47762326,5.247394945,2.1,5.17138,2.73287,2.80612
1.10.1989,-0.133333333,5.89,4.62732,0.693191333,24.64902042,13.69204478,40.70887708,63.67909535,5.158588689,0.1,5.46318,2.5974,3.01161
1.01.1990,0.433333333,5.89,5.23288,0.714041,24.76539681,13.55212518,40.4362596,63.73454697,5.835885956,3.4,5.76584,3.5728,2.72011
1.04.1990,-0.366666667,5.87,4.58345,0.731936667,24.72985429,13.49643313,40.17631114,63.60458704,5.374796718,3.1,6.6948,2.55255,2.30496
1.07.1990,0.633333333,5.86,5.56447,0.712043333,24.70934539,13.52239477,40.23879908,64.07490566,5.623762253,1.2,7.50905,2.62271,2.72953
1.10.1990,0.5,5.84,6.27648,0.698366,25.15052996,13.65080546,40.56448048,64.49003641,5.856068682,-3.5,7.86411,3.57409,3.02924
1.01.1991,-1.2,5.82,5.25905,0.717189,25.39272177,13.75477502,40.83161529,64.24943768,7.274091515,1,7.00909,3.7092,2.84251
1.04.1991,-0.333333333,5.79,4.84661,0.752985333,25.28623743,13.82791318,40.57873446,64.19173281,6.859620366,6.6,8.39626,3.4041,3.29916
1.07.1991,-0.1,5.77,3.852,0.758068,25.07278397,13.92689199,40.02674847,64.15833591,6.763793603,2.9,7.7114,3.13983,4.51352
1.10.1991,-0.166666667,5.74,2.96536,0.745667,24.86886183,14.13428087,39.46089923,63.9732384,6.811981849,2.4,7.02975,2.76779,5.50437
1.01.1992,-0.3,5.71,2.89389,0.757961667,24.76913718,14.48251457,38.70936937,64.53211652,8.155904475,8,7.00052,1.93133,5.91085
1.04.1992,0.366666667,5.68,3.07352,0.769183667,24.46742549,14.62604644,37.68464761,64.28168204,7.592329524,3.4,4.27932,2.30088,6.09405
1.07.1992,-0.166666667,5.65,3.07467,0.754313,24.35677373,14.80289827,36.81291019,64.45576651,7.562593243,3.7,3.29164,1.80531,4.95751
1.10.1992,0,5.61,3.12197,0.795117667,24.0631825,15.15130476,35.96388114,64.59356126,7.118920203,2.5,2.63372,1.01434,3.33642
1.01.1993,0.233333333,5.58,3.17308,0.823179333,23.74606924,15.3241273,35.25542139,64.73571697,7.859662441,-3.1,2.36437,1.29825,4.66606
1.04.1993,0.066666667,5.54,3.125,0.820318,23.63205643,15.56266253,34.63505054,64.97393549,7.105723322,-2.3,2.43359,0.83045,4.38716
1.07.1993,-0.066666667,5.51,2.81723,0.842353,23.5672641,15.85020489,34.0405238,65.26484809,6.783344801,0.8,2.7884,1.7733,4.54341
1.10.1993,-0.033333333,5.48,2.7693,0.865493333,23.30706896,15.95750832,33.31084836,65.00956085,6.353330619,2.1,2.43941,1.07341,4.30493
1.01.1994,-0.166666667,5.44,2.53961,0.906165333,22.79542921,15.91870474,32.77113868,65.03207073,7.193698703,1.5,2.4205,1.24697,2.97203
1.04.1994,0.066666667,5.41,2.3826,0.917975333,22.6197565,15.72522778,32.19462528,64.69027477,6.184276892,0,1.98758,0.72066,2.77296
1.07.1994,0.2,5.38,2.85517,0.905639,22.86491835,15.65596768,31.75533674,64.92039517,5.982875964,-2.1,1.73616,0,2.58176
1.10.1994,-0.066666667,5.35,2.60333,0.905174,22.40432696,15.38922254,31.21937275,64.83142676,5.31437028,4.8,1.7628,0.8222,2.45056
1.01.1995,0,5.33,2.84026,0.934842,22.37377115,15.22140417,31.01844293,64.72044304,5.97105,0,2.50232,0.13685,2.0798
1.04.1995,0,5.3,3.09535,0.901984667,22.41273124,15.07269261,31.23415363,65.15462418,5.672956741,2,2.4665,-0.03407,1.7285
1.07.1995,-0.2,5.28,2.66398,0.922244667,22.16167625,14.84844478,31.64934608,65.14554992,5.657255565,-0.1,2.74265,0,1.55201
1.10.1995,-0.066666667,5.25,2.62631,0.947040667,21.80763888,14.52615788,31.86190008,65.1059883,5.274278304,2.5,2.93269,-0.61162,1.46874
1.01.1996,0.033333333,5.23,2.78392,0.965533667,21.71072651,14.20895209,32.19206469,65.29449728,6.081306749,2.1,2.59192,-0.34165,1.4553
1.04.1996,0.166666667,5.21,2.82709,0.973522667,21.68000601,13.87866372,32.09562447,65.05128366,5.455593745,4.2,2.37741,0.13633,1.45048
1.07.1996,0.1,5.19,2.90013,0.975783333,21.50394974,13.52364487,32.32936346,64.93760359,5.283515313,1.6,2.22453,0.20499,1.36307
1.10.1996,-0.1,5.17,3.2314,0.983442667,21.43491742,13.07457224,32.58888919,64.87289006,5.009321978,0.5,2.3915,0.54701,1.53019
1.01.1997,-0.066666667,5.15,2.94497,1.015020667,21.26748513,12.82423596,32.78918107,64.94514441,5.743595619,-0.3,1.92421,0.58279,1.7623
1.04.1997,-0.033333333,5.13,2.30179,1.026629667,21.16917558,12.44863739,32.86778594,64.25536194,4.962808725,5.3,1.59652,2.04221,1.55229
1.07.1997,-0.166666667,5.12,2.22505,1.047131667,20.93699459,12.30169523,32.98029382,64.46866433,4.876665468,3.4,1.944,2.18207,2.32274
1.10.1997,0.1,5.1,1.89076,1.088391,20.8064634,12.17069929,33.31846511,64.71787554,4.402033652,1.7,1.84544,2.17613,2.11813
1.01.1998,-0.433333333,5.09,1.48256,1.148722333,20.4832136,12.1064767,33.68380509,64.63551432,5.112440556,2.2,1.57083,2.01091,1.24849
1.04.1998,0.166666667,5.07,1.58333,1.153746667,20.69844702,11.97700255,34.12587819,65.1250987,4.395902436,2.5,1.84286,0.33356,1.36766
1.07.1998,-0.133333333,5.06,1.59619,1.184968333,20.61697736,11.77460443,34.32306848,65.08284407,4.548279121,5.7,1.39462,-0.2002,0.59737
1.10.1998,0,5.05,1.52577,1.148086333,20.46953763,11.70928211,34.66246321,64.93429412,4.143811216,3.4,1.41563,0.53245,0.43877
1.01.1999,0.2,5.04,1.68724,1.159864667,20.3810471,11.61343677,34.97439021,64.87705279,4.693564648,4.4,1.56073,-0.10023,0.19889
1.04.1999,0.033333333,5.03,2.11239,1.169256333,20.32724866,11.5280188,35.1909411,65.42823824,4.213034657,1.2,1.40272,-0.26596,0.51587
1.07.1999,0.066666667,5.03,2.34646,1.164106,20.31071384,11.30802105,35.34116946,65.45550581,4.261384232,3.5,1.22105,0,0.673
1.10.1999,0.2,5.02,2.61982,1.152979333,20.26021201,11.20345911,35.0587473,65.37199249,3.844163909,6.6,1.14461,-0.99305,0.95314
