"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-01",5.684834,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-02",8.052578,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-03",9.339663,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-04",8.095544,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-05",10.30088,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-06",10.08224,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-07",11.49656,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-08",11.41345,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-09",12.29153,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-10",11.166,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-11",15.8752,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1956-12",15.92225,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-01",14.78907,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-02",12.28333,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-03",11.204,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-04",12.23557,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-05",11.48249,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-06",11.38878,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-07",11.67597,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-08",11.32123,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-09",11.66485,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-10",12.01218,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-11",8.006637,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1957-12",9.127052,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-01",7.690059,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-02",7.591814,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-03",7.336203,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-04",7.363952,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-05",7.309667,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-06",7.742591,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-07",5.300748,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-08",6.002805,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-09",5.042397,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-10",4.748814,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-11",4.102801,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1958-12",3.264775,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-01",2.384323,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-02",2.698061,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-03",2.704254,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-04",1.835893,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-05",0.7754822,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-06",0.6302805,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-07",1.520002,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-08",0.2424268,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-09",1.052644,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-10",3.113529,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-11",3.575497,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1959-12",3.567506,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-01",3.18251,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-02",3.175412,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-03",4.43994,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-04",4.151835,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-05",4.009159,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-06",3.702108,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-07",4.714979,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-08",4.938127,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-09",3.932802,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-10",2.060947,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-11",1.628394,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1960-12",2.329416,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-01",2.711229,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-02",2.194991,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-03",1.3973,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-04",1.400297,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-05",1.539394,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-06",2.188374,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-07",0.9679253,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-08",0.7532195,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-09",1.043489,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-10",1.807421,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-11",1.951046,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1961-12",1.034104,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-01",1.798789,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-02",2.015472,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-03",2.776486,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-04",3.972253,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-05",3.972253,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-06",4.643092,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-07",5.629218,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-08",5.629218,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-09",5.330663,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-10",5.268241,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-11",6.532953,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1962-12",6.457545,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-01",5.865036,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-02",5.662103,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-03",5.53413,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-04",5.278629,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-05",5.205141,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-06",3.88912,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-07",3.336269,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-08",4.460374,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-09",5.060884,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-10",5.84783,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-11",4.888443,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1963-12",4.962739,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-01",9.000805,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-02",10.19961,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-03",9.990682,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-04",9.850883,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-05",10.62871,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-06",12.00294,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-07",11.78638,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-08",10.58344,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-09",10.65211,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-10",8.794506,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-11",9.658646,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1964-12",9.47184,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-01",6.220064,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-02",5.16712,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-03",5.133974,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-04",5.51983,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-05",4.67633,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-06",4.219471,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-07",5.019617,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-08",5.019617,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-09",3.634262,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-10",5.216595,
"FIN","CPI","TOT_FOODENRG","AGRWTH","M","1965-11",4.496271,
