"","","","","","A1101","A1302","A5101","A5102","C120110","C2207","E9102","E9103","E9105","E9106","F1101","F110101","F110102","F1107","F2201","F2211","F2221"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population[person]","A1302_Population 15-64 years old[person]","A5101_In-migrants from other prefectures[person]","A5102_Out-migrants to other prefectures[person]","C120110_Taxable income[thousand yen]","C2207_Number of employees[person]","E9102_People having completed elementary or junior high school only[person]","E9103_People having completed up to senior high school[person]","E9105_People having completed up to junior college or equivalent[person]","E9106_People having completed college and universities[person]","F1101_Labour force[person]","F110101_Labour force [male][person]","F110102_Labour force [female][person]","F1107_Unemployed persons[person]","F2201_Persons employed in the primary industry[person]","F2211_Persons employed in the secondary industry[person]","F2221_Persons employed in the tertiary industry[person]"
"2010100000","2010","01100","Hokkaido Sapporo-shi","","1,913,545","1,292,313","119,829","114,541","2,405,159,500","***","171,427","567,951","249,171","250,223","932,871","523,737","409,134","71,834","3,534","118,904","658,853"
"2010100000","2010","01101","Hokkaido Sapporo-shi Chuo-ku","","220,189","156,677","20,833","17,874","-","***","10,799","52,106","31,582","42,358","111,149","59,640","51,509","8,384","263","6,931","80,526"
"2010100000","2010","01102","Hokkaido Sapporo-shi Kita-ku","","278,781","187,505","15,572","15,260","-","***","26,271","83,762","34,233","33,702","130,119","73,786","56,333","10,217","641","19,794","92,204"
"2010100000","2010","01103","Hokkaido Sapporo-shi Higashi-ku","","255,873","174,326","15,243","15,130","-","***","29,621","79,988","32,503","27,782","126,180","71,722","54,458","10,304","470","18,083","86,041"
"2010100000","2010","01104","Hokkaido Sapporo-shi Shiroishi-ku","","204,259","140,875","14,138","13,850","-","***","21,197","60,281","26,285","21,053","105,816","59,061","46,755","8,772","325","15,381","70,096"
"2010100000","2010","01105","Hokkaido Sapporo-shi Toyohira-ku","","212,118","145,007","15,799","14,858","-","***","15,581","59,419","29,024","29,931","106,815","58,653","48,162","8,428","249","11,051","76,916"
"2010100000","2010","01106","Hokkaido Sapporo-shi Minami-ku","","146,341","92,635","6,917","7,810","-","***","13,718","49,184","17,446","18,300","68,595","39,063","29,532","4,803","474","6,955","50,950"
"2010100000","2010","01107","Hokkaido Sapporo-shi Nishi-ku","","211,229","140,434","12,024","11,712","-","***","17,135","62,254","28,690","28,372","104,118","58,584","45,534","7,477","331","13,944","72,647"
"2010100000","2010","01108","Hokkaido Sapporo-shi Atsubetsu-ku","","128,492","84,942","7,008","6,986","-","***","12,449","39,049","16,996","19,124","60,511","34,125","26,386","4,674","253","7,317","44,439"
"2010100000","2010","01109","Hokkaido Sapporo-shi Teine-ku","","139,644","92,107","6,808","6,060","-","***","14,720","47,224","17,735","15,725","66,062","38,062","28,000","5,286","288","11,419","45,705"
"2010100000","2010","01110","Hokkaido Sapporo-shi Kiyota-ku","","116,619","77,805","5,487","5,001","-","***","9,936","34,684","14,677","13,876","53,506","31,041","22,465","3,489","240","8,029","39,329"
"2010100000","2010","01202","Hokkaido Hakodate-shi","","279,127","171,405","9,440","10,334","299,676,771","***","47,300","105,464","23,106","21,988","132,777","72,870","59,907","11,043","4,343","20,184","89,051"
"2010100000","2010","01203","Hokkaido Otaru-shi","","131,928","77,215","3,474","4,365","128,449,614","***","25,063","57,958","13,075","10,884","60,016","32,960","27,056","5,506","761","9,695","42,909"
"2010100000","2010","01204","Hokkaido Asahikawa-shi","","347,095","213,269","11,091","11,421","369,594,702","***","65,108","142,924","31,430","30,002","167,809","93,489","74,320","13,556","4,155","26,209","117,667"
"2010100000","2010","01205","Hokkaido Muroran-shi","","94,535","56,279","3,629","3,948","109,714,952","***","21,035","36,771","8,353","7,137","42,582","25,918","16,664","3,037","374","10,443","27,314"
"2010100000","2010","01206","Hokkaido Kushiro-shi","","181,169","113,635","6,701","7,765","197,585,535","***","39,404","76,376","13,678","12,564","86,869","49,751","37,118","7,694","1,917","14,808","58,689"
"2010100000","2010","01207","Hokkaido Obihiro-shi","","168,057","109,040","7,745","7,578","201,882,203","***","21,180","55,250","15,970","13,294","84,534","47,627","36,907","4,872","3,702","13,817","55,044"
"2010100000","2010","01208","Hokkaido Kitami-shi","","125,689","78,202","4,457","4,692","137,802,813","***","23,536","45,256","11,206","9,496","62,050","34,961","27,089","3,871","4,139","10,251","40,016"
"2010100000","2010","01209","Hokkaido Yubari-shi","","10,922","5,417","273","507","8,515,333","***","4,127","4,493","637","631","5,111","3,011","2,100","451","640","1,172","2,848"
"2010100000","2010","01210","Hokkaido Iwamizawa-shi","","90,145","54,834","2,983","3,228","92,705,106","***","17,270","38,054","9,236","7,614","42,720","24,253","18,467","3,329","3,636","6,894","28,001"
"2010100000","2010","01211","Hokkaido Abashiri-shi","","40,998","26,578","1,956","2,132","49,268,108","***","8,136","16,361","3,736","3,217","19,945","11,648","8,297","1,242","2,136","3,111","12,659"
"2010100000","2010","01212","Hokkaido Rumoi-shi","","24,457","14,807","1,115","1,458","27,390,868","***","5,941","11,079","1,779","1,795","12,726","7,485","5,241","1,194","395","2,508","8,533"
