area,year,pop,15_64,in_mig,out_mig,inc,emp,jun_high,sen_high,jun_col,sen_col,lf_tot,lf_m,lf_f,unemp,prim_emp,sec_emp,ter_emp
1100,2010,"1,913,545","1,292,313","119,829","114,541","2,405,159,500",***,"171,427","567,951","249,171","250,223","932,871","523,737","409,134","71,834","3,534","118,904","658,853"
1202,2010,"279,127","171,405","9,440","10,334","299,676,771",***,"47,300","105,464","23,106","21,988","132,777","72,870","59,907","11,043","4,343","20,184","89,051"
1203,2010,"131,928","77,215","3,474","4,365","128,449,614",***,"25,063","57,958","13,075","10,884","60,016","32,960","27,056","5,506",761,"9,695","42,909"
1204,2010,"347,095","213,269","11,091","11,421","369,594,702",***,"65,108","142,924","31,430","30,002","167,809","93,489","74,320","13,556","4,155","26,209","117,667"
1205,2010,"94,535","56,279","3,629","3,948","109,714,952",***,"21,035","36,771","8,353","7,137","42,582","25,918","16,664","3,037",374,"10,443","27,314"
1206,2010,"181,169","113,635","6,701","7,765","197,585,535",***,"39,404","76,376","13,678","12,564","86,869","49,751","37,118","7,694","1,917","14,808","58,689"
1207,2010,"168,057","109,040","7,745","7,578","201,882,203",***,"21,180","55,250","15,970","13,294","84,534","47,627","36,907","4,872","3,702","13,817","55,044"
1208,2010,"125,689","78,202","4,457","4,692","137,802,813",***,"23,536","45,256","11,206","9,496","62,050","34,961","27,089","3,871","4,139","10,251","40,016"
1209,2010,"10,922","5,417",273,507,"8,515,333",***,"4,127","4,493",637,631,"5,111","3,011","2,100",451,640,"1,172","2,848"
1210,2010,"90,145","54,834","2,983","3,228","92,705,106",***,"17,270","38,054","9,236","7,614","42,720","24,253","18,467","3,329","3,636","6,894","28,001"
1211,2010,"40,998","26,578","1,956","2,132","49,268,108",***,"8,136","16,361","3,736","3,217","19,945","11,648","8,297","1,242","2,136","3,111","12,659"
1212,2010,"24,457","14,807","1,115","1,458","27,390,868",***,"5,941","11,079","1,779","1,795","12,726","7,485","5,241","1,194",395,"2,508","8,533"
1213,2010,"173,320","113,284","5,963","5,937","203,362,965",***,"29,472","76,383","14,909","11,873","86,141","51,943","34,198","5,936","1,231","19,896","53,213"
1214,2010,"39,595","25,125","1,735","2,010","47,105,106",***,"9,493","14,963","2,915","2,334","20,231","12,058","8,173","1,758","1,418","3,700","11,811"
1215,2010,"26,034","14,887",719,979,"22,754,022",***,"7,786","9,826","2,453","1,455","11,803","6,794","5,009",903,"1,601","2,328","6,781"
1216,2010,"16,628","8,791",393,506,"13,235,647",***,"6,130","6,284","1,069",808,"7,397","4,032","3,365",537,744,"1,837","4,203"
1217,2010,"123,722","81,565","4,788","4,945","132,554,078",***,"14,830","44,347","15,096","14,437","57,441","33,135","24,306","4,341","1,511","9,532","39,843"
1218,2010,"12,637","6,655",255,453,"9,499,672",***,"5,097","4,706",762,489,"5,338","2,932","2,406",466,228,"1,321","3,310"
1219,2010,"24,750","14,855",939,"1,132","26,969,089",***,"6,759","10,071","1,853","1,760","12,992","7,209","5,783",793,"1,082","3,349","7,475"
1220,2010,"21,787","12,069",639,925,"20,929,040",***,"6,505","8,471","1,586","1,166","10,853","6,104","4,749",502,"2,013","1,765","6,401"
1221,2010,"30,591","18,597","1,392","1,651","33,889,222",***,"7,435","13,147","2,469","1,912","15,468","9,176","6,292",752,"1,837","1,737","11,104"
