educ,R1 - R400,r1,R401 - R800,r2,R801 - R1 600,r3,No income,r0,R1 601 - R3 200,r4,R3 201 - R6 400,r5,R6 401 - R12 800,r6,R12 801 - R25 600,r7,R25 601 - R51 200,r8,R51 201 - R102 400,r9,R102 401 - R204 800,r10,R204 801 or more,r11,Total,first,second,third,r_len,year,sex,color,state
No schooling,446524789,10.57998517,37961669,0.899466065,93680939,2.219681796,1721474197,40.78871302,55740212,1.320711931,1170042,0.027723045,9140114,0.21656641,1119461,0.026524576,2238922,0.053049152,1170042,0.027723045,1144952,0.027128561,1170042,0.027723045,4220467059,7,14,30,12,2001,Male,Black African,Eastern Cape
Some primary,479514269,153.2003412,968112513,309.3029278,70056711,22.38246643,818828648,261.6081238,298489798,95.36470937,495874,0.158427123,10347143,3.305815782,5264693,1.682020361,4680168,1.49527007,4982808,1.59196073,2340084,0.747635035,1119461,0.357657359,312998173,7,14,30,12,2001,Male,Black African,Eastern Cape
Complete primary,125615857,7.892606736,272740646,17.13664748,106084831,6.665447115,1050981447,66.03452339,20445247,1.284601308,4409365,0.277046105,252632,0.015873195,1119461,0.070337182,1144952,0.071938815,2264413,0.142275997,2170042,0.136346545,1119461,0.070337182,1591563614,7,14,30,12,2001,Male,Black African,Eastern Cape
Some secondary,838012451,12.62198054,904742986,13.62706288,22776266,0.343051688,1129688043,17.01514157,20231814,0.304727647,15426562,0.232351876,26534461,0.39965689,3434856,0.051735133,2170042,0.032684751,1144952,0.017245044,1144952,0.017245044,1170042,0.017622945,6639310277,7,14,30,12,2001,Male,Black African,Eastern Cape
Grade 12/Std 10,11271083,3.162353118,398447423,111.79329,817074163,229.2483364,3905394862,1095.745424,19901873,5.583913289,25650828,7.196910529,10184706,2.857545879,2238922,0.628179383,4434856,1.244297527,3289904,0.923055768,2289904,0.642483518,1144952,0.321241759,356414435,7,14,30,12,2001,Male,Black African,Eastern Cape
Higher,40632291,11.33684046,21715591,6.05888038,112399016,31.36051848,22744576,6.345978117,18048623,5.035757386,19217268,5.361821746,18554451,5.176888767,3433843,0.958078644,6711567,1.87259843,10159215,2.834528816,1144952,0.319453761,2144952,0.598464375,358409304,7,14,30,12,2001,Male,Black African,Eastern Cape
No schooling,594387742,34.48253909,411821916,23.89124861,258540048,14.9988243,729188236,42.3027934,18460816,1.070977351,18082456,1.049027346,5305448,0.307787838,3721328,0.215887424,1101816,0.06392025,1101816,0.06392025,2203632,0.127840501,1101816,0.06392025,1723735426,7,14,30,10,2001,Male,Black African,Free State
Some primary,973119064,20.81209983,695175778,14.86772609,106924414,2.286792707,1424457078,30.46486706,450877834,9.642925353,1101816,0.023564542,9431804,0.201718016,4064296,0.086923109,1860664,0.039794026,1,2.14E-08,1,2.14E-08,1101816,0.023564542,4675737056,7,14,30,10,2001,Male,Black African,Free State
Complete primary,36507878,30.23680438,264165222,218.7887267,271232362,224.6419217,418320384,346.4641692,1101816,0.912553582,26693352,22.10815054,6610896,5.475321495,1101816,0.912553582,103103,0.085392672,1101816,0.912553582,1101816,0.912553582,1101816,0.912553582,120739869,7,14,30,10,2001,Male,Black African,Free State
Some secondary,104273156,163.5088441,141772094,222.3102484,868422462,1361.757507,6700591742,10507.07634,604457812,947.8393282,10845558,17.00672273,3601696,5.647754152,988744,1.550431528,1101816,1.727737679,3860664,6.053837174,1101816,1.727737679,1101816,1.727737679,63772181,7,14,30,10,2001,Male,Black African,Free State
Grade 12/Std 10,385741108,6.527620169,511527114,8.656206552,190454324,3.222921957,749158524,12.67747251,13909854,0.235386485,27655832,0.467999814,4407264,0.074580968,6610896,0.111871453,3305448,0.055935726,5407264,0.091503251,1101816,0.018645242,1101816,0.018645242,5909368162,7,14,30,10,2001,Male,Black African,Free State
Higher,5823144,10.87364668,6150019,11.48402542,129655286,242.107317,694493368,1296.838187,131607024,245.7518275,310556632,579.9071929,4064296,7.58932266,17425424,32.53876323,2101816,3.924753462,4305448,8.039629513,2203632,4.114876051,1101816,2.057438025,53552816,7,14,30,10,2001,Male,Black African,Free State
No schooling,424658384,76.91786936,3474604514,629.350994,19352835,3.505356047,2373095469,429.8359673,782954768,141.8156684,132712677,24.03808976,32404121,5.869319999,718847,0.130203904,229173,0.041509834,2529665,0.458195221,244837,0.044347035,1186062,0.214830003,552093275,7,14,30,7,2001,Male,Black African,Gauteng
Some primary,509446119,23.72105636,1029986038,47.95866716,2367986169,110.2592233,4090271694,190.4530465,243418563,11.3341632,12657007,0.589341179,14059637,0.65465106,787519,0.036668809,3519787,0.163889885,2110055,0.098249318,4742486,0.220821739,1137476,0.052963662,2147653592,7,14,30,7,2001,Male,Black African,Gauteng
Complete primary,205734734,4.732716157,153106565,3.522059206,319916425,7.359348634,218096832,5.017093519,13808509,0.317650561,141950402,3.26542314,1245865,0.028659844,1352902,0.03112212,244837,0.005632224,1145865,0.026359447,122716,0.002822955,2182424,0.050204422,4347075277,7,14,30,7,2001,Male,Black African,Gauteng
Some secondary,121791005,0.307461435,1035692457,2.614605974,7821121379,19.74442369,22498623337,56.79778257,3204973755,8.090957378,71050611,0.179367293,155995328,0.393810261,33799974,0.085328046,577094,0.001456874,7600185,0.01918667,703183,0.001775186,4564375,0.011522766,39611798768,7,14,30,7,2001,Male,Black African,Gauteng
Grade 12/Std 10,64606898,0.540072077,2258345474,18.87831437,621154144,5.192448781,420058625,3.511419696,5702131115,47.66614542,255307325,2.134204885,516733217,4.319557052,18234824,0.15243139,659724,0.005514868,3462564,0.028944806,294663195,2.463194623,10772819,0.090053832,11962643642,7,14,30,7,2001,Male,Black African,Gauteng
Higher,158583774,33.33744754,13113347,2.756685042,212948591,44.76600792,236405103,49.69703092,57776427,12.14574831,531379467,111.7064796,545931391,114.7655819,223959051,47.0806245,25763046,5.4159021,6729325,1.414637283,2086172,0.438554638,10873461,2.28581668,475692609,7,14,30,7,2001,Male,Black African,Gauteng
No schooling,580677604,7.302009415,271278302,3.411319296,751848395,9.454478735,5193487735,65.30800581,157981645,1.986616069,11967776,0.150494547,10033491,0.126170951,4630188,0.058224523,4586968,0.057681032,1220072,0.015342381,1313313,0.016514885,1263292,0.015885872,7952298758,7,14,30,13,2001,Male,Black African,KwaZulu-Natal
Some primary,696146858,18.74412868,154022828,4.147147508,279936463,7.537439872,2065340746,55.61041074,26690847,0.718665415,128775958,3.467361951,1220072,0.032851095,7461595,0.20090746,3753457,0.101063849,1220072,0.032851095,13789876,0.37129983,1107999,0.029833469,3713946217,7,14,30,13,2001,Male,Black African,KwaZulu-Natal
Complete primary,356817778,16.75161814,380721872,17.87384993,247441065,11.61668081,780059814,36.6216734,20541915,0.96438669,19812723,0.930153121,1948318,0.091468198,1418578,0.066598355,1263292,0.059308102,1220072,0.057279041,1948318,0.091468198,8162188,0.383192388,2130049617,7,14,30,13,2001,Male,Black African,KwaZulu-Natal
Some secondary,245784986,2.860399539,986144934,11.47656966,314577686,3.66099607,2007805221,23.36646034,114213667,1.329197221,319920825,3.723178519,8424938,0.098047847,1263292,0.014701955,8494221,0.09885415,1,1.16E-08,20254196,0.235714532,2526584,0.02940391,8592680242,7,14,30,13,2001,Male,Black African,KwaZulu-Natal
Grade 12/Std 10,97050516,18.2806494,158184405,29.79596366,13604239,2.562524485,214436617,40.39175448,708098242,133.3789478,186296691,35.0912559,1333478,0.251176859,7450097,1.403316715,5094699,0.959648748,316839,0.059680493,5892119,1.10985254,1107999,0.208705137,530892059,7,14,30,13,2001,Male,Black African,KwaZulu-Natal
Higher,15386092,3.694405227,3067918,0.736647896,101335607,24.33202637,2461241,0.590976683,216860509,52.07109109,36766402,8.828101882,416457867,99.99707014,58990603,14.16442798,6566565,1.576719551,2412829,0.579352318,2825658,0.678478049,4469146,1.073101366,416470069,7,14,30,13,2001,Male,Black African,KwaZulu-Natal
No schooling,614141172,45.46794722,11724963,0.868057742,423369756,31.34418371,2337531431,173.0591606,533910711,39.52808431,3228378,0.239012994,21728025,1.608634527,2152263,0.159342811,2111722,0.156341357,2,1.48E-07,1,7.40E-08,1090301,0.080720444,1350712336,7,14,30,7,2001,Male,Black African,Limpopo
Some primary,829605075,61.37115199,25685347795,1900.108173,514607336,38.06877029,1446044303,106.9730735,21955338,1.624175678,22805934,1.687099662,2302052,0.170297395,3456789,0.255720619,1152263,0.085240206,1152263,0.085240206,2228378,0.164847262,2411408,0.178387152,1351783449,7,14,30,7,2001,Male,Black African,Limpopo
Complete primary,127701248,4.144145464,44692338,1.450350351,71130788,2.308327734,62794948,2.037814062,197377606,6.405274212,15897026,0.515888366,1152263,0.0373931,1114189,0.036157527,3525597,0.114412248,1114189,0.036157527,2411408,0.078254721,4465014,0.144898095,3081485655,7,14,30,7,2001,Male,Black African,Limpopo
